erd_id,resin_name,sculptor,scale
931,Standing ASB (Brent-Starr),Janice Brent-Starr,Standing
932,Revelation,Ed Gonzales,Traditional (1:9)
933,Vertical Limit,Debbi LerMond,Traditional (1:9)
934,Max-a-million (Reid),Jennifer Reid,Unknown
937,Elfhaime,Jennifer Scott (was Irwin),Stablemate (1:32)
938,Violetta,Brigitte Eberl,Traditional (1:9)
939,Queenie,Brigitte Eberl,Traditional (1:9)
940,Chica,Brigitte Eberl,Traditional (1:9)
941,Sputnik (prototype for PS Bright Zip),D'arry Jone Frank,Traditional (1:9)
943,Altoid,D'arry Jone Frank,Stablemate (1:32)
944,HA Van Gogh,Tina Lamport,Stablemate (1:32)
947,Atrevido,Sonya Johnson,Stablemate (1:32)
948,AA Dauntless,Donna Chaney,Stablemate (1:32)
949,Sababa,Jennifer Kroll,Large Classic
950,Biendecado,Lynn Fraley,Classic (1:12)
951,Vespers,D'arry Jone Frank,Little
952,Spyder,D'arry Jone Frank,Stablemate (1:32)
953,Jiggs,D'arry Jone Frank,Little
954,Jag,D'arry Jone Frank,Little
955,Tall Latte,D'arry Jone Frank,Little
957,Espresso (Jone Frank),D'arry Jone Frank,Little
958,Vivaldi,D'arry Jone Frank,Little
959,Oscar (D'Arry Jone Frank),D'arry Jone Frank,Stablemate (1:32)
960,Valentino (D'Arry Jone Frank),D'arry Jone Frank,Stablemate (1:32)
961,Lestat,D'arry Jone Frank,Little
962,O'Shay,D'arry Jone Frank,Little
963,Belle Starr,D'arry Jone Frank,Little
964,Hipshot,D'arry Jone Frank,Little
965,Latigo,D'arry Jone Frank,Little
966,Tanglefoot,D'arry Jone Frank,Stablemate (1:32)
967,Pandora,D'arry Jone Frank,Little
968,Venus,D'arry Jone Frank,Little
969,Pluto,D'arry Jone Frank,Little
970,Wild Honey,Deborah McDermott,Stablemate (1:32)
971,Equinox,Ed Gonzales,Traditional (1:9)
972,Uranus,Jennifer Reid,Unknown
974,Anna Amira,Jennifer Reid,Traditional (1:9)
975,Vermeer,Jennifer Reid,Unknown
976,Genuine Jack,Jennifer Reid,Unknown
977,Absolute,Jennifer Reid,Traditional (1:9)
978,Brom,Jennifer Reid,Traditional (1:9)
979,Khemosabi (Reid),Jennifer Reid,Unknown
980,A.F. Farid Fakhir,Jennifer Reid,Unknown
981,Lovey,Laura Behning,Stablemate (1:32)
982,Independence,Sarah Rose,Traditional (1:9)
984,Sabir,Vicki Keeling,Traditional (1:9)
992,Ostentatious,Debbi LerMond,Traditional (1:9)
993,Eberl Standing Andalusian SM,Brigitte Eberl,Stablemate (1:32)
994,Malik En Naseem,Keren Gilfoyle-McGroarty,Stablemate (1:32)
995,"Ajima 3 ""Almaz""",Sonya Johnson,Stablemate (1:32)
996,Jarich,Kathleen Moody,Stablemate (1:32)
997,Kalinda,Kathleen Moody,Stablemate (1:32)
1000,HA Titan,Tina Lamport,Stablemate (1:32)
